x,y,yaw,curvature,speed
12.413021,0.159872,-3.128316,0.004585,0.4
11.561281,0.150461,-3.13316,0.007162,0.4
10.830712,0.146528,-3.140002,0.012457,0.4
10.22186,0.14833,3.132729,0.024268,0.4
9.735402,0.156237,3.117636,0.042324,0.4
9.371512,0.168706,3.094951,0.102654,0.4
9.130658,0.184463,3.04924,0.456875,0.514
9.01367,0.201847,2.826439,16.909998,0.629
9.019736,0.220626,0.278724,12.692489,0.743
9.149037,0.240586,0.141674,0.174128,0.857
9.279821,0.257722,0.117332,0.193633,0.971
9.412847,0.271682,0.091008,0.198968,1.086
9.548669,0.282257,0.064355,0.192166,1.2
9.687387,0.289374,0.04049,0.151716,1.2
9.829364,0.293628,0.022093,0.108086,1.2
9.974786,0.295725,0.009832,0.062186,1.2
10.122233,0.296508,0.00256,0.036767,1.2
10.27178,0.296485,-0.002735,0.034227,1.2
10.422833,0.295686,-0.006581,0.016886,1.2
10.575203,0.294488,-0.008446,0.007751,1.2
10.727392,0.293113,-0.009274,0.003126,1.2
10.878831,0.291673,-0.009509,3.3e-05,1.2
11.028894,0.290246,-0.008516,0.013356,1.2
11.177201,0.289132,-0.006303,0.0166,1.2
11.323077,0.288392,-0.003562,0.02098,1.2
11.467033,0.288099,-0.001666,0.005138,1.2
11.609448,0.287915,8.6e-05,0.019576,1.2
11.750641,0.288124,0.002278,0.011407,1.2
11.890627,0.288555,0.00372,0.009142,1.2
12.029944,0.289163,0.005119,0.010935,1.2
12.168732,0.289979,0.007436,0.022323,1.2
12.308031,0.291231,0.010385,0.01999,1.2
12.448068,0.29288,0.013144,0.01939,1.2
12.58909,0.294925,0.015667,0.016385,1.2
12.731298,0.297318,0.018019,0.016764,1.2
12.874043,0.30006,0.019212,3e-06,1.2
13.017118,0.302809,0.019845,0.008838,1.2
13.160387,0.305744,0.020493,0.000211,1.2
13.303912,0.308687,0.019974,0.00743,1.2
13.447575,0.311481,0.017803,0.022862,1.2
13.590823,0.313796,0.014272,0.026444,1.2
13.733643,0.315564,0.010291,0.029281,1.2
13.876126,0.316732,0.006278,0.027149,1.2
14.017756,0.317347,0.002723,0.022951,1.2
14.159024,0.317502,0.000415,0.009677,1.2
14.300003,0.317464,-0.001241,0.013799,1.2
14.440986,0.317152,-0.002385,0.002432,1.2
14.581992,0.316792,-0.001894,0.009377,1.2
14.723251,0.316618,-0.000876,0.005066,1.2
14.864514,0.316544,-0.000139,0.005358,1.2
15.005747,0.316578,0.00124,0.014172,1.2
15.147039,0.316895,0.003034,0.011199,1.2
15.288676,0.317437,0.004913,0.015327,1.2
15.430612,0.318288,0.007285,0.018079,1.2
15.5729,0.319507,0.009902,0.018704,1.2
15.715561,0.32111,0.012368,0.015899,1.2
15.858408,0.323039,0.014212,0.009944,1.2
16.001139,0.325169,0.01688,0.027316,1.2
16.144432,0.327867,0.020696,0.025993,1.2
16.287967,0.331106,0.023673,0.015509,1.2
16.431661,0.334668,0.025633,0.011743,1.2
16.575816,0.338486,0.026918,0.006084,1.2
16.720652,0.342449,0.027411,0.000746,1.2
16.866237,0.346448,0.026863,0.008225,1.2
17.01245,0.350289,0.026292,0.000374,1.2
17.159278,0.354155,0.026699,0.005143,1.2
17.307037,0.358157,0.026969,0.001462,1.2
17.455102,0.362135,0.026783,0.001047,1.2
17.603765,0.366106,0.027108,0.005403,1.2
17.752836,0.370208,0.02837,0.011505,1.2
17.902323,0.374578,0.030318,0.014559,1.2
18.051989,0.37928,0.032172,0.010225,1.2
18.201631,0.384211,0.034854,0.025592,1.2
18.351262,0.389715,0.037393,0.008303,1.2
18.501191,0.395417,0.037916,0.001308,1.2
18.651065,0.401088,0.037217,0.008,1.2
18.801304,0.406592,0.035676,0.012467,1.2
18.952144,0.411834,0.033094,0.021725,1.2
19.103472,0.416595,0.029751,0.022516,1.2
19.254758,0.42084,0.026682,0.01803,1.2
19.405982,0.424669,0.023781,0.020336,1.2
19.557148,0.428032,0.019807,0.032261,1.2
19.708085,0.430654,0.015274,0.027823,1.2
19.858609,0.432637,0.011489,0.022413,1.2
20.009008,0.434111,0.008611,0.015879,1.2
20.158987,0.435223,0.006716,0.009419,1.2
20.307838,0.436118,0.005518,0.006651,1.2
20.455689,0.436861,0.004743,0.003798,1.2
20.602903,0.437518,0.003241,0.016717,1.2
20.749074,0.437811,0.001179,0.011439,1.2
20.894395,0.437861,-1.7e-05,0.004972,1.2
21.039133,0.437806,0.000612,0.013746,1.2
21.183223,0.438038,0.00338,0.024729,1.2
21.326607,0.438778,0.007068,0.026698,1.2
21.469401,0.440061,0.01134,0.032966,1.2
21.612433,0.442019,0.016867,0.044218,1.2
21.755953,0.444894,0.023279,0.04525,1.2
21.899535,0.448704,0.031302,0.066128,1.2
22.043844,0.453909,0.041736,0.078424,1.2
22.188675,0.460779,0.052915,0.075647,1.2
22.334261,0.469291,0.06253,0.056329,1.2
22.480591,0.479056,0.069662,0.041042,1.2
22.627612,0.489759,0.075277,0.035287,1.2
22.774844,0.501248,0.079589,0.023205,1.2
22.921867,0.513228,0.082834,0.020824,1.2
23.068414,0.525622,0.085955,0.021569,1.2
23.214826,0.538472,0.087808,0.00364,1.2
23.360703,0.551353,0.087009,0.014642,1.2
23.50586,0.563858,0.085282,0.009075,1.2
23.649554,0.576047,0.083801,0.011462,1.2
23.792161,0.587907,0.082709,0.003731,1.2
23.934038,0.59963,0.082702,0.003641,1.2
24.076335,0.611462,0.082478,0.006742,1.2
24.219174,0.623201,0.081561,0.006033,1.2
24.363048,0.634899,0.079954,0.016112,1.2
24.508346,0.646371,0.076605,0.029604,1.2
24.655625,0.657356,0.071993,0.032717,1.2
24.805352,0.66779,0.066357,0.042061,1.2
24.958141,0.677459,0.060562,0.033907,1.2
25.113538,0.686477,0.054405,0.045309,1.2
25.270549,0.694473,0.04669,0.053086,1.2
25.428193,0.701179,0.040311,0.027884,1.2
25.58631,0.707208,0.034363,0.047553,1.2
25.743888,0.712032,0.02655,0.051843,1.2
25.900112,0.715542,0.02007,0.031009,1.2
26.054435,0.718265,0.016252,0.0183,1.2
26.206953,0.720529,0.014132,0.009405,1.2
26.357361,0.722547,0.013019,0.005346,1.2
26.505608,0.724417,0.013753,0.015504,1.2
26.652147,0.726601,0.017103,0.03035,1.2
26.797163,0.729404,0.021058,0.024147,1.2
26.940543,0.732675,0.026581,0.052879,1.2
27.083121,0.737007,0.034832,0.062788,1.2
27.225039,0.742589,0.04416,0.068384,1.2
27.366709,0.749538,0.053964,0.070015,1.2
27.507809,0.757863,0.063649,0.066872,1.2
27.648633,0.767507,0.072676,0.060775,1.2
27.789747,0.778389,0.080253,0.046167,1.2
27.931661,0.79027,0.084971,0.020242,1.2
28.074475,0.802641,0.086472,0.000825,1.2
28.218404,0.815127,0.085652,0.012112,1.2
28.363102,0.827424,0.08418,0.008158,1.2
28.509018,0.839649,0.081793,0.024406,1.2
28.655615,0.851402,0.078251,0.023752,1.2
28.802914,0.862693,0.074552,0.026353,1.2
28.95075,0.873446,0.069857,0.03712,1.2
29.098485,0.883375,0.064426,0.036292,1.2
29.245861,0.892485,0.060731,0.013708,1.2
29.39279,0.90127,0.059669,0.000672,1.2
29.539518,0.910029,0.059806,0.002537,1.2
29.686207,0.918839,0.059483,0.006945,1.2
29.83272,0.92749,0.05858,0.005346,1.2
29.979449,0.936037,0.056515,0.022679,1.2
30.126686,0.944121,0.053385,0.019795,1.2
30.274424,0.951799,0.051726,0.002674,1.2
30.423357,0.95948,0.051639,0.001486,1.2
30.573232,0.967243,0.05095,0.01061,1.2
30.7239,0.974806,0.049381,0.010213,1.2
30.875015,0.982158,0.048092,0.006834,1.2
31.026659,0.989378,0.04731,0.003477,1.2
31.179186,0.996559,0.047746,0.009135,1.2
31.332233,1.003979,0.049779,0.017424,1.2
31.485415,1.011815,0.052345,0.0161,1.2
31.638113,1.020005,0.054282,0.009262,1.2
31.789394,1.028332,0.055704,0.009511,1.2
31.939357,1.036802,0.057111,0.009194,1.2
32.08852,1.045434,0.057957,0.00209,1.2
32.236521,1.054044,0.057884,0.003114,1.2
32.383194,1.06251,0.05719,0.006398,1.2
32.527662,1.070713,0.054873,0.025878,1.2
32.670273,1.078279,0.051701,0.018474,1.2
32.810751,1.085362,0.049257,0.016107,1.2
32.950215,1.092079,0.047231,0.012825,1.2
33.089457,1.098535,0.045412,0.013245,1.2
33.228743,1.104736,0.044584,0.001372,1.2
33.367743,1.110951,0.046157,0.021173,1.2
33.507093,1.117593,0.049418,0.025588,1.2
33.64666,1.124746,0.053204,0.028477,1.2
33.786998,1.132499,0.058006,0.039754,1.2
33.928189,1.141094,0.062964,0.030322,1.2
34.070656,1.150383,0.067203,0.029151,1.2
34.213996,1.16033,0.071204,0.026567,1.2
34.358169,1.17089,0.074983,0.025768,1.2
