x,y,yaw,curvature,speed
7.769459,-0.817956,2.43033,0.109591,0.6
7.558992,-0.629827,2.389205,0.196738,0.6
7.393021,-0.465586,2.324762,0.395734,0.6
7.272561,-0.324799,2.219302,0.847047,0.6
7.197128,-0.2071,2.035947,2.094475,0.6
7.165874,-0.112225,1.689067,5.396808,0.614
7.177212,-0.039496,1.085271,8.878468,0.957
7.230639,0.010516,0.481545,5.369285,1.3
7.326313,0.03842,0.142155,2.037031,1.643
7.464797,0.044028,0.039152,0.019383,1.986
7.601078,0.049183,0.037598,0.003145,2.329
7.734871,0.054187,0.036909,0.007199,2.672
7.866471,0.058983,0.03544,0.015175,3.0
7.996535,0.063465,0.032652,0.027684,3.0
8.125729,0.067452,0.027707,0.048562,3.0
8.255159,0.070632,0.023217,0.020837,3.0
8.384796,0.073467,0.020866,0.015341,3.0
8.515441,0.076064,0.019916,0.000674,3.0
8.647381,0.078698,0.021505,0.023128,3.0
8.780981,0.081775,0.023491,0.006747,3.0
8.917177,0.085037,0.02521,0.018411,3.0
9.054884,0.088682,0.027949,0.021146,3.0
9.19528,0.092811,0.03151,0.029434,3.0
9.338224,0.097613,0.036283,0.037006,3.0
9.48434,0.103304,0.041243,0.030961,3.0
9.63366,0.109805,0.044911,0.018461,3.0
9.785646,0.116845,0.047922,0.021185,3.0
9.939443,0.12447,0.050249,0.009171,3.0
10.095155,0.132411,0.052647,0.021598,3.0
10.251593,0.140918,0.055284,0.012076,3.0
10.409377,0.1498,0.056843,0.007755,3.0
10.567018,0.158867,0.057412,0.000549,3.0
10.724073,0.167887,0.056546,0.010576,3.0
10.879472,0.176554,0.054819,0.011632,3.0
11.033197,0.18485,0.05339,0.006863,3.0
11.18543,0.192905,0.051924,0.012468,3.0
11.335667,0.20057,0.050235,0.009969,3.0
11.48376,0.207904,0.047366,0.028783,3.0
11.630834,0.214561,0.043068,0.029611,3.0
11.77691,0.220537,0.039805,0.014919,3.0
11.921941,0.226155,0.037914,0.011042,3.0
12.0669,0.231537,0.037016,0.001334,3.0
12.211738,0.236887,0.037379,0.006371,3.0
12.355912,0.242345,0.037989,0.002083,3.0
12.498857,0.2478,0.038766,0.008747,3.0
12.641974,0.25344,0.039891,0.006956,3.0
12.785274,0.259231,0.041842,0.020359,3.0
12.927866,0.265409,0.045128,0.025738,3.0
13.069651,0.272073,0.048247,0.018084,3.0
13.211261,0.279093,0.050723,0.016925,3.0
13.352031,0.286409,0.052947,0.014497,3.0
13.493049,0.294026,0.054269,0.004218,3.0
13.63562,0.301814,0.055072,0.006951,3.0
13.780631,0.30988,0.05556,0.00012,3.0
13.926989,0.318019,0.055115,0.005874,3.0
14.075071,0.326125,0.054402,0.003768,3.0
14.224812,0.334237,0.053487,0.008388,3.0
14.376268,0.34225,0.051545,0.01717,3.0
14.52899,0.34993,0.04872,0.019781,3.0
14.682841,0.357198,0.045443,0.022836,3.0
14.837178,0.363945,0.041664,0.026218,3.0
14.991216,0.370054,0.037047,0.033818,3.0
15.144399,0.375332,0.031442,0.03909,3.0
15.297738,0.379695,0.026,0.032081,3.0
15.450231,0.383285,0.021088,0.032164,3.0
15.60263,0.386125,0.015981,0.034924,3.0
15.754591,0.388149,0.011484,0.024165,3.0
15.906486,0.389615,0.008715,0.012308,3.0
16.058062,0.390794,0.007917,0.001814,3.0
16.2092,0.392011,0.009669,0.021435,3.0
16.359867,0.393712,0.014258,0.039443,3.0
16.510386,0.396306,0.021999,0.063575,3.0
16.660363,0.400324,0.031476,0.062162,3.0
