x,y,yaw,curvature,speed
-2.851231,-0.754697,-3.022894,0.270739,1.0
-3.003015,-0.776785,-2.965646,0.545589,1.0
-3.115527,-0.801685,-2.863969,1.540704,1.0
-3.187982,-0.829497,-2.64229,6.015099,1.0
-3.220643,-0.859015,-1.986314,27.742047,1.011
-3.213611,-0.887584,-0.79923,19.840044,1.081
-3.168947,-0.912161,-0.326604,4.123714,1.274
-3.08589,-0.930848,-0.142287,1.286393,1.467
-2.963645,-0.941572,-0.033817,0.676114,1.661
-2.804921,-0.940353,0.029712,0.271833,1.855
-2.643042,-0.932043,0.070625,0.235925,2.05
-2.479784,-0.917351,0.112,0.270997,2.233
-2.317048,-0.895378,0.156284,0.266843,2.358
-2.15425,-0.866057,0.195998,0.21435,2.36
-1.991929,-0.830827,0.228913,0.181949,2.361
-1.82996,-0.790499,0.257073,0.157462,2.362
-1.670239,-0.746258,0.285162,0.183553,2.362
-1.514676,-0.698073,0.314252,0.175307,2.345
-1.364811,-0.646987,0.345432,0.222228,2.297
-1.222597,-0.592965,0.382902,0.268809,2.247
-1.086586,-0.534923,0.420566,0.236434,2.194
-0.954716,-0.473155,0.451104,0.181313,2.141
-0.82596,-0.408671,0.473368,0.126817,2.087
-0.699352,-0.342355,0.489746,0.102036,2.034
-0.5745,-0.274627,0.496614,0.005915,1.998
-0.448644,-0.206493,0.488015,0.112541,1.993
-0.31971,-0.139375,0.467393,0.168601,1.989
-0.185794,-0.073835,0.432067,0.299108,1.989
-0.044308,-0.01238,0.38083,0.364398,2.002
0.104715,0.042478,0.322755,0.369561,2.015
0.259934,0.089374,0.262379,0.379137,2.018
0.419215,0.126943,0.203374,0.342802,2.005
0.581555,0.1557,0.146362,0.347155,1.991
0.74721,0.175295,0.095818,0.262531,1.977
0.91375,0.187628,0.055779,0.219366,1.964
1.079019,0.193822,0.021542,0.194612,1.938
1.242615,0.194714,-0.001228,0.083821,1.911
1.401905,0.193426,-0.007403,0.008831,1.894
1.556216,0.192392,0.002985,0.128617,1.894
1.706804,0.194336,0.032991,0.271249,1.901
1.854652,0.202241,0.080732,0.369874,1.911
2.001468,0.218176,0.139139,0.418116,1.943
2.147692,0.243279,0.199968,0.398291,1.96
2.294124,0.277491,0.25963,0.38947,1.948
2.442326,0.321542,0.315394,0.333249,1.893
2.592049,0.3747,0.362078,0.254687,1.824
2.744449,0.435979,0.397085,0.17459,1.745
2.899559,0.503658,0.417647,0.072812,1.658
3.05534,0.573938,0.42329,0.006035,1.549
3.211692,0.644281,0.414037,0.104018,1.454
3.366097,0.710496,0.391942,0.162078,1.39
3.5172,0.770556,0.358379,0.256162,1.367
3.664147,0.822132,0.310308,0.369531,1.36
3.805773,0.863092,0.249542,0.458962,1.355
3.941909,0.892921,0.172823,0.655561,1.355
4.071634,0.909502,0.080262,0.759995,1.367
4.194858,0.913267,-0.015307,0.775539,1.386
4.312827,0.905809,-0.109668,0.816863,1.42
4.425311,0.887892,-0.198394,0.72553,1.469
4.533542,0.861437,-0.276991,0.677277,1.527
4.638156,0.82738,-0.347074,0.590052,1.624
4.739968,0.78677,-0.408046,0.519502,1.722
4.839414,0.740374,-0.463163,0.483583,1.807
4.936637,0.688554,-0.509707,0.36169,1.892
5.032103,0.632666,-0.549579,0.357489,1.965
5.126087,0.572511,-0.589737,0.362208,2.026
5.218341,0.50804,-0.629608,0.345027,2.068
5.309128,0.439163,-0.66858,0.338158,2.054
5.398476,0.365743,-0.707144,0.328029,2.035
5.486439,0.287638,-0.745965,0.332505,2.015
5.572531,0.204902,-0.784945,0.321018,1.989
5.656473,0.117758,-0.823024,0.308986,1.96
5.738021,0.026465,-0.85974,0.291544,1.928
5.817016,-0.068625,-0.896282,0.300454,1.906
5.892918,-0.167247,-0.934226,0.310056,1.9
5.96524,-0.269137,-0.974103,0.329912,1.9
6.033206,-0.373766,-1.016769,0.355676,1.911
6.09609,-0.480642,-1.063493,0.399542,1.921
6.15307,-0.589419,-1.113479,0.415342,1.932
6.203872,-0.699662,-1.162196,0.385938,1.942
6.249064,-0.81113,-1.208404,0.38292,1.955
6.288671,-0.923326,-1.253819,0.379513,1.971
6.322897,-1.036204,-1.298818,0.384643,1.99
6.351655,-1.149164,-1.343317,0.379088,2.038
6.375123,-1.261816,-1.386489,0.369761,2.142
6.393625,-1.374296,-1.428378,0.364526,2.247
6.407347,-1.486545,-1.464955,0.280924,2.376
6.417451,-1.598567,-1.491397,0.188381,2.46
6.425157,-1.710379,-1.513468,0.205081,2.513
6.430285,-1.822188,-1.535121,0.180433,2.546
6.433165,-1.934769,-1.555456,0.179867,2.509
6.433758,-2.048597,-1.572072,0.112161,2.391
6.432872,-2.164265,-1.582646,0.070868,2.25
6.430986,-2.282512,-1.587974,0.020367,2.06
6.428767,-2.403229,-1.58915,0.000454,1.914
6.426494,-2.527268,-1.593799,0.073741,1.791
6.422997,-2.654052,-1.608976,0.164091,1.686
6.416721,-2.783121,-1.634231,0.22694,1.611
6.406512,-2.913579,-1.666232,0.262626,1.561
6.391673,-3.044775,-1.702885,0.294398,1.533
6.371711,-3.175509,-1.745869,0.35718,1.529
6.345686,-3.30476,-1.797114,0.423949,1.526
6.31291,-3.430872,-1.857944,0.508856,1.526
6.27223,-3.553504,-1.930609,0.619941,1.531
6.222626,-3.67087,-2.010185,0.626026,1.535
6.164424,-3.782862,-2.09059,0.64412,1.554
6.097578,-3.889375,-2.168277,0.587524,1.583
6.022885,-3.990871,-2.244354,0.617076,1.621
5.940007,-4.086818,-2.318462,0.547555,1.666
5.849344,-4.178029,-2.385937,0.500998,1.715
5.751345,-4.264578,-2.449622,0.469243,1.759
5.645528,-4.346922,-2.510665,0.442342,1.803
5.532342,-4.424567,-2.56634,0.37582,1.834
5.414283,-4.496862,-2.619015,0.385723,1.854
5.291712,-4.563168,-2.674426,0.411419,1.866
5.165371,-4.622415,-2.730186,0.386413,1.884
5.035417,-4.67499,-2.782269,0.359654,1.922
4.903467,-4.720794,-2.837242,0.429147,1.976
4.769978,-4.758368,-2.893972,0.386175,2.122
4.634795,-4.788717,-2.94328,0.329621,2.254
4.500211,-4.812578,-2.986123,0.296382,2.386
4.36645,-4.830776,-3.017806,0.168392,2.518
4.231592,-4.846001,-3.033395,0.061989,2.636
4.09607,-4.860145,-3.031229,0.093953,2.73
3.961326,-4.87595,-3.021887,0.043829,2.808
3.828142,-4.892371,-3.013573,0.080164,2.794
3.696086,-4.910092,-2.996322,0.179125,2.794
3.565164,-4.930845,-2.974382,0.153091,2.863
3.436486,-4.953909,-2.954737,0.146176,2.832
3.309038,-4.979268,-2.932895,0.192157,2.781
3.184266,-5.007325,-2.911689,0.139786,2.716
3.06304,-5.036842,-2.89668,0.099902,2.648
2.94533,-5.067042,-2.891466,0.016973,2.569
2.82905,-5.096621,-2.891623,0.014671,2.482
2.713628,-5.126198,-2.891121,0.006393,2.297
2.599061,-5.155463,-2.895256,0.063916,2.206
2.485049,-5.183673,-2.90464,0.095623,2.106
2.370921,-5.210556,-2.917964,0.131608,2.022
2.256507,-5.23565,-2.93899,0.225611,1.939
2.140626,-5.257863,-2.967121,0.252231,1.869
2.023852,-5.276659,-2.998367,0.274986,1.804
1.905791,-5.29173,-3.031065,0.278235,1.769
1.788178,-5.302814,-3.065199,0.300117,1.739
1.671263,-5.309681,-3.101093,0.312342,1.737
1.554975,-5.312264,3.141545,0.383858,1.736
1.439056,-5.30967,3.096201,0.398784,1.734
1.323898,-5.301768,3.044519,0.493501,1.732
1.209075,-5.287275,2.988464,0.474761,1.732
1.094839,-5.266415,2.933921,0.462136,1.732
0.980924,-5.239201,2.878154,0.490899,1.735
0.868065,-5.205253,2.819745,0.498017,1.75
0.75625,-5.164285,2.760243,0.500127,1.751
