x,y,yaw,curvature,speed
-4.34423,-14.732904,2.566407,1.157235,1.02
-4.445551,-14.65647,2.430993,0.969076,1.082
-4.540566,-14.563942,2.3187,0.742578,1.163
-4.628455,-14.459309,2.223883,0.644867,1.287
-4.709251,-14.343464,2.140684,0.538737,1.412
-4.782888,-14.218312,2.069173,0.445928,1.524
-4.850297,-14.084281,2.013392,0.304738,1.615
-4.912875,-13.944053,1.970768,0.253958,1.694
-4.970666,-13.799561,1.933105,0.230376,1.757
-5.0239,-13.651143,1.921877,0.087161,1.8
-5.077754,-13.507174,1.936299,0.100297,1.8
-5.132646,-13.366986,1.953719,0.131464,1.8
-5.1892,-13.230499,1.975434,0.164214,1.8
-5.247471,-13.098874,2.000801,0.18772,1.8
-5.307982,-12.971504,2.028877,0.210799,1.8
-5.370922,-12.848496,2.057597,0.202778,1.8
-5.43654,-12.728614,2.085825,0.208216,1.8
-5.505494,-12.610728,2.114976,0.220689,1.8
-5.577239,-12.496103,2.145218,0.229851,1.8
-5.650678,-12.38641,2.175505,0.229052,1.8
-5.725466,-12.281613,2.202711,0.19129,1.8
-5.801364,-12.180569,2.225986,0.175137,1.8
-5.878721,-12.082173,2.247141,0.162228,1.8
-5.957551,-11.985976,2.267061,0.158382,1.8
-6.037585,-11.892127,2.288276,0.185798,1.8
-6.119079,-11.800869,2.312485,0.211247,1.8
-6.201762,-11.712931,2.337028,0.193811,1.8
-6.285917,-11.62751,2.358388,0.160363,1.8
-6.372129,-11.54331,2.377879,0.161758,1.8
-6.461146,-11.45972,2.397585,0.160567,1.8
-6.553228,-11.376615,2.417992,0.167336,1.8
-6.649071,-11.293696,2.439909,0.178983,1.8
-6.74848,-11.211593,2.461436,0.155178,1.8
-6.851361,-11.13006,2.479337,0.118296,1.8
-6.957282,-11.048785,2.493255,0.090122,1.8
-7.066638,-10.96697,2.505291,0.085454,1.8
-7.180434,-10.883917,2.517432,0.087076,1.8
-7.298484,-10.799992,2.529733,0.083943,1.8
-7.419265,-10.716332,2.541021,0.069726,1.8
-7.542954,-10.632536,2.548072,0.025751,1.8
-7.667283,-10.549002,2.549489,0.006743,1.8
-7.791789,-10.465167,2.548135,0.011309,1.8
-7.916164,-10.381114,2.546524,0.01017,1.8
-8.04029,-10.296952,2.543513,0.030253,1.8
-8.162878,-10.213022,2.537483,0.052043,1.8
-8.281545,-10.130441,2.529091,0.06424,1.8
-8.396445,-10.048907,2.520658,0.054897,1.8
-8.50844,-9.968138,2.513688,0.04608,1.8
-8.61714,-9.888702,2.508911,0.024134,1.8
-8.72365,-9.81034,2.506318,0.014857,1.8
-8.828568,-9.732832,2.503275,0.031862,1.8
-8.932301,-9.655535,2.497365,0.059649,1.8
-9.034719,-9.577985,2.489435,0.063104,1.8
-9.136979,-9.499239,2.481878,0.053304,1.8
-9.24055,-9.418332,2.473911,0.067731,1.8
-9.345162,-9.33509,2.46334,0.089909,1.8
-9.45065,-9.249039,2.450693,0.095919,1.8
-9.556731,-9.160154,2.439245,0.069972,1.8
-9.663607,-9.068812,2.429616,0.067298,1.8
-9.770862,-8.975365,2.421281,0.050411,1.8
-9.878021,-8.880638,2.415434,0.031507,1.8
-9.985144,-8.785077,2.413052,0.001811,1.8
-10.091284,-8.690344,2.413363,0.006281,1.8
-10.196219,-8.596855,2.416364,0.036777,1.8
-10.300391,-8.505,2.422787,0.055918,1.8
-10.404075,-8.414989,2.430452,0.055544,1.8
-10.507594,-8.326492,2.43652,0.033391,1.8
-10.61065,-8.239195,2.441514,0.04057,1.8
-10.713429,-8.153092,2.446596,0.035019,1.8
-10.816378,-8.067664,2.451378,0.036445,1.8
-10.919619,-7.982842,2.45459,0.011511,1.8
-11.023665,-7.897626,2.454877,0.00715,1.8
-11.127986,-7.812016,2.451638,0.040781,1.8
-11.23209,-7.72562,2.444183,0.069358,1.8
-11.335617,-7.638048,2.435166,0.063678,1.8
-11.438588,-7.549409,2.427969,0.042269,1.8
-11.541345,-7.459919,2.422069,0.044301,1.8
-11.64389,-7.369518,2.415289,0.054869,1.8
-11.746078,-7.278058,2.405822,0.082633,1.8
-11.848116,-7.184618,2.39357,0.094304,1.8
-11.949879,-7.088949,2.381354,0.080043,1.8
-12.052395,-6.990369,2.370883,0.067566,1.8
-12.155572,-6.889212,2.362256,0.052267,1.8
-12.259222,-6.786034,2.354006,0.06055,1.8
-12.363019,-6.680855,2.342046,0.101117,1.8
-12.466055,-6.573264,2.32468,0.132326,1.8
-12.567339,-6.463233,2.303993,0.145158,1.8
-12.665997,-6.351277,2.282092,0.149397,1.8
-12.761283,-6.238184,2.260614,0.141442,1.786
-12.853064,-6.124537,2.238815,0.158578,1.757
-12.940347,-6.011243,2.216025,0.159912,1.723
-13.023352,-5.898302,2.193444,0.162002,1.688
-13.102324,-5.78562,2.174207,0.116802,1.654
-13.17803,-5.673856,2.164814,0.020489,1.62
-13.25199,-5.564021,2.168848,0.083238,1.585
-13.325861,-5.456865,2.184945,0.164741,1.565
-13.401041,-5.352635,2.21072,0.238246,1.559
-13.478047,-5.252432,2.243726,0.284186,1.559
-13.557402,-5.156457,2.283074,0.34648,1.573
-13.640086,-5.064777,2.328584,0.389843,1.59
-13.726595,-4.977652,2.377779,0.411212,1.607
-13.816957,-4.895381,2.425328,0.365422,1.623
-13.910784,-4.817319,2.467474,0.325564,1.64
-14.007372,-4.743243,2.504308,0.279182,1.657
-14.10626,-4.672603,2.537934,0.274736,1.674
-14.207078,-4.605542,2.572749,0.29876,1.677
-14.310435,-4.542066,2.609784,0.31173,1.672
-14.416344,-4.48242,2.648902,0.33227,1.636
-14.524669,-4.427054,2.690662,0.355585,1.587
-14.634946,-4.376573,2.732914,0.336607,1.535
-14.748343,-4.33019,2.771673,0.297175,1.479
-14.864239,-4.287659,2.802942,0.210113,1.421
-14.982051,-4.247874,2.82383,0.126204,1.361
-15.101543,-4.209608,2.833735,0.0325,1.305
-15.222337,-4.17147,2.827221,0.134727,1.269
-15.342738,-4.131182,2.803271,0.242258,1.23
-15.462126,-4.087101,2.764232,0.370615,1.187
-15.579667,-4.037274,2.708762,0.494981,1.148
-15.694833,-3.979578,2.64126,0.560901,1.098
-15.804838,-3.914165,2.568157,0.577598,1.048
-15.909711,-3.840804,2.492145,0.607155,0.994
-16.009011,-3.75913,2.413885,0.616149,0.952
-16.101032,-3.670376,2.333894,0.63707,0.925
-16.184802,-3.575318,2.254258,0.620205,0.905
-16.260115,-3.475038,2.169729,0.7304,0.886
-16.325154,-3.369696,2.070123,0.883017,0.88
-16.377532,-3.259764,1.957517,0.970484,0.876
-16.415918,-3.146813,1.840492,0.983154,0.876
-16.440575,-3.031703,1.713292,1.172053,0.877
-16.44915,-2.915181,1.572232,1.237506,0.879
-16.440909,-2.799182,1.423196,1.302266,0.88
-16.414845,-2.684457,1.27044,1.280589,0.881
-16.370779,-2.572756,1.119579,1.223917,0.882
-16.309058,-2.466141,0.972424,1.175545,0.883
-16.231281,-2.368138,0.83017,1.1165,0.885
-16.140772,-2.282068,0.68971,1.130004,0.885
-16.039152,-2.209662,0.547279,1.14384,0.884
-15.927648,-2.152197,0.400106,1.214134,0.884
-15.809469,-2.112524,0.247806,1.222955,0.885
-15.687,-2.091312,0.093862,1.272249,0.892
-15.56508,-2.089518,-0.06238,1.278862,0.91
-15.445819,-2.106376,-0.216049,1.260606,0.936
-15.331032,-2.140886,-0.362091,1.160038,0.961
-15.221426,-2.191375,-0.491127,0.967528,0.987
-15.116677,-2.25553,-0.597503,0.763332,1.012
-15.016248,-2.330994,-0.679121,0.538082,1.037
-14.91865,-2.41538,-0.7281,0.23488,1.056
-14.823513,-2.502817,-0.73891,0.067595,1.062
-14.728152,-2.58894,-0.708863,0.400607,1.062
-14.628728,-2.669856,-0.64259,0.632414,1.063
-14.52311,-2.74243,-0.550268,0.797175,1.075
-14.409112,-2.804585,-0.440592,0.885842,1.103
-14.286519,-2.853984,-0.322667,0.881934,1.13
-14.154421,-2.889741,-0.210344,0.763568,1.157
-14.014792,-2.911998,-0.112544,0.630742,1.184
-13.870812,-2.921795,-0.040432,0.372642,1.211
-13.723216,-2.923793,-0.004998,0.115686,1.238
-13.575543,-2.923271,-0.00122,0.065657,1.253
-13.430548,-2.92415,-0.02536,0.27455,1.252
-13.290162,-2.93051,-0.071084,0.383265,1.252
-13.156099,-2.943692,-0.130228,0.493332,1.262
-13.027276,-2.96494,-0.201429,0.603489,1.3
-12.905113,-2.994943,-0.280168,0.638071,1.378
-12.788131,-3.03375,-0.355392,0.571902,1.457
-12.674714,-3.080456,-0.417245,0.434234,1.535
-12.564078,-3.133067,-0.457004,0.213352,1.613
-12.454395,-3.188792,-0.473929,0.062354,1.691
-12.344562,-3.24566,-0.473397,0.070367,1.76
-12.233846,-3.301768,-0.464838,0.067255,1.8
-12.121762,-3.357393,-0.463661,0.048098,1.8
-12.010467,-3.413461,-0.467111,0.007066,1.792
-11.899086,-3.469696,-0.467482,0.001108,1.784
-11.787672,-3.525929,-0.467018,0.006329,1.775
-11.676213,-3.582073,-0.464463,0.034606,1.765
-11.564478,-3.637753,-0.459759,0.040875,1.756
-11.452736,-3.692727,-0.452363,0.078055,1.746
-11.340828,-3.746441,-0.440881,0.107233,1.732
-11.228789,-3.798398,-0.424803,0.153582,1.727
-11.116517,-3.847907,-0.397894,0.284705,1.721
-11.002867,-3.893356,-0.362064,0.300761,1.716
-10.887909,-3.934495,-0.323652,0.328712,1.712
-10.77177,-3.970877,-0.284099,0.320444,1.707
-10.654404,-4.002678,-0.244408,0.331701,1.703
-10.535722,-4.029746,-0.203873,0.33292,1.703
-10.415438,-4.052083,-0.164167,0.315675,1.708
-10.293559,-4.069862,-0.124967,0.320055,1.712
-10.169969,-4.082919,-0.083594,0.344852,1.718
-10.044595,-4.090723,-0.041557,0.324761,1.724
-9.917728,-4.093407,0.000145,0.331897,1.738
-9.789401,-4.090686,0.041293,0.309537,1.752
-9.659854,-4.082753,0.082689,0.328177,1.766
-9.529367,-4.069135,0.12394,0.302276,1.775
-9.398725,-4.050222,0.164,0.30498,1.784
-9.268315,-4.025934,0.203565,0.291877,1.792
-9.138447,-3.996494,0.240097,0.257316,1.8
-9.009378,-3.962542,0.272559,0.230232,1.8
-8.881707,-3.924732,0.301564,0.205228,1.8
-8.755323,-3.883518,0.328502,0.200314,1.8
-8.630458,-3.839093,0.354681,0.194739,1.8
-8.507167,-3.791615,0.378596,0.167156,1.8
-8.385316,-3.741579,0.401023,0.172646,1.8
-8.264483,-3.688717,0.423714,0.171591,1.8
-8.144838,-3.633115,0.447466,0.188412,1.8
-8.026549,-3.574524,0.475846,0.241429,1.8
-7.910074,-3.512131,0.509049,0.260051,1.8
-7.795244,-3.44543,0.542952,0.250275,1.8
-7.682008,-3.374505,0.573991,0.215042,1.8
-7.570449,-3.300075,0.601416,0.194216,1.8
-7.46057,-3.22255,0.627102,0.188125,1.8
-7.352582,-3.14219,0.65116,0.170053,1.8
-7.246798,-3.059649,0.671268,0.128242,1.8
-7.14174,-2.974715,0.685229,0.078799,1.8
-7.036908,-2.888095,0.690633,0.001183,1.8
