x,y
-4.567993,-14.597481
-4.631497,-14.471371
-4.683468,-14.340064
-4.726377,-14.205505
-4.762773,-14.069029
-4.795096,-13.931524
-4.825690,-13.793622
-4.856786,-13.655832
-4.890585,-13.518685
-4.929383,-13.382875
-4.975326,-13.249323
-5.029076,-13.118715
-5.089999,-12.991293
-5.157402,-12.867173
-5.230628,-12.746394
-5.308986,-12.628877
-5.391833,-12.514478
-5.478599,-12.403019
-5.568721,-12.294255
-5.661712,-12.187931
-5.757292,-12.083929
-5.855243,-11.982155
-5.955359,-11.882511
-6.057456,-11.784895
-6.161335,-11.689179
-6.266813,-11.595227
-6.373725,-11.502909
-6.481897,-11.412071
-6.591170,-11.322560
-6.701401,-11.234230
-6.812437,-11.146915
-6.924142,-11.060458
-7.036385,-10.974698
-7.149031,-10.889470
-7.261958,-10.804614
-7.375039,-10.719963
-7.488151,-10.635355
-7.601176,-10.550629
-7.714060,-10.465715
-7.826801,-10.380612
-7.939405,-10.295328
-8.051875,-10.209867
-8.164213,-10.124233
-8.276425,-10.038433
-8.388511,-9.952469
-8.500476,-9.866348
-8.612325,-9.780075
-8.724058,-9.693654
-8.835682,-9.607090
-8.947198,-9.520389
-9.058611,-9.433555
-9.169925,-9.346593
-9.281142,-9.259507
-9.392266,-9.172304
-9.503302,-9.084988
-9.614252,-8.997563
-9.725121,-8.910035
-9.835912,-8.822409
-9.946629,-8.734688
-10.057276,-8.646880
-10.167857,-8.558988
-10.278374,-8.471017
-10.388833,-8.382972
-10.499237,-8.294857
-10.609589,-8.206679
-10.719894,-8.118442
-10.830156,-8.030150
-10.940378,-7.941809
-11.050564,-7.853423
-11.160718,-7.764997
-11.270845,-7.676537
-11.380947,-7.588046
-11.491028,-7.499530
-11.601038,-7.410925
-11.710827,-7.322046
-11.820236,-7.232699
-11.929098,-7.142689
-12.037246,-7.051820
-12.144508,-6.959909
-12.250700,-6.866764
-12.355638,-6.772208
-12.459131,-6.676073
-12.560966,-6.578185
-12.660942,-6.478399
-12.758846,-6.376580
-12.854438,-6.272588
-12.947507,-6.166333
-13.037822,-6.057728
-13.125142,-5.946701
-13.209267,-5.833235
-13.289950,-5.717297
-13.367329,-5.599125
-13.442552,-5.479566
-13.517046,-5.359550
-13.592231,-5.239967
-13.669538,-5.121749
-13.750486,-5.005999
-13.836568,-4.894025
-13.929288,-4.787497
-14.030006,-4.688520
-14.139557,-4.599441
-14.257110,-4.521207
-14.380755,-4.452981
-14.508858,-4.393519
-14.640158,-4.341471
-14.773695,-4.295447
-14.908769,-4.254137
-15.044865,-4.216319
-15.181591,-4.180840
-15.318615,-4.146526
-15.455577,-4.111964
-15.592077,-4.075631
-15.727623,-4.035897
-15.861556,-3.991047
-15.992909,-3.939150
-16.120327,-3.878263
-16.241926,-3.806495
-16.355301,-3.722370
-16.457777,-3.625290
-16.547418,-3.516237
-16.624005,-3.397633
-16.687497,-3.271523
-16.737793,-3.139593
-16.774499,-3.003254
-16.796937,-2.863861
-16.804202,-2.722868
-16.795061,-2.581997
-16.768350,-2.443396
-16.722889,-2.309785
-16.658402,-2.184258
-16.577027,-2.068926
-16.481903,-1.964612
-16.375835,-1.871426
-16.260968,-1.789312
-16.138950,-1.718240
-16.011091,-1.658306
-15.878484,-1.609774
-15.742092,-1.573224
-15.602888,-1.549574
-15.462008,-1.540281
-15.321005,-1.547068
-15.182150,-1.572351
-15.048173,-1.616771
-14.920700,-1.677453
-14.800008,-1.750755
-14.685365,-1.833235
-14.575419,-1.921900
-14.468438,-2.014135
-14.362353,-2.107404
-14.254598,-2.198727
-14.141782,-2.283660
-14.019506,-2.354031
